source,destination,source_zone,destination_zone
172.16.1.232,108.161.138.152,trusted,untrusted
10.0.2.65,34.216.78.37,trusted,untrusted
172.16.2.242,51.15.82.93,trusted,untrusted
172.16.1.232,188.146.131.155,trusted,untrusted
192.168.10.53,52.88.186.130,trusted,untrusted
192.168.10.53,129.144.62.179,trusted,untrusted
192.168.1.55,40.70.134.175,trusted,untrusted
10.0.2.65,34.217.108.226,trusted,untrusted
192.168.10.53,52.88.186.130,trusted,untrusted
10.0.2.65,188.146.131.155,trusted,untrusted
103.125.191.136,10.0.0.10,untrusted,trusted
188.146.131.155,192.168.1.55,untrusted,trusted
34.218.47.231,192.168.10.53,untrusted,trusted
34.216.78.37,172.16.1.232,untrusted,trusted
87.251.74.56,10.0.0.102,untrusted,trusted
76.102.124.169,172.16.1.232,untrusted,trusted
142.105.57.15,192.168.10.53,untrusted,trusted
111.223.73.130,192.168.10.53,untrusted,trusted
108.161.138.152,172.16.2.242,untrusted,trusted
111.223.73.130,192.168.1.55,untrusted,trusted
205.185.123.210,192.168.10.53,untrusted,trusted
111.223.73.130,192.168.10.53,untrusted,trusted
129.144.62.179,192.168.10.53,untrusted,trusted
205.185.123.210,10.0.0.10,untrusted,trusted
34.216.78.37,10.0.2.65,untrusted,trusted
54.202.255.47,10.0.0.102,untrusted,trusted
87.251.74.56,10.0.0.10,untrusted,trusted
129.144.62.179,192.168.1.55,untrusted,trusted
34.216.163.39,10.0.2.65,untrusted,trusted
76.102.124.169,172.16.1.232,untrusted,trusted
108.161.138.152,10.0.0.102,untrusted,trusted
117.52.87.230,172.16.1.232,untrusted,trusted
103.226.248.72,172.16.1.232,untrusted,trusted
142.105.57.15,172.16.2.242,untrusted,trusted
52.88.186.130,10.0.0.10,untrusted,trusted
103.125.191.136,192.168.10.53,untrusted,trusted
111.223.73.130,172.16.2.242,untrusted,trusted
13.80.137.40,10.0.0.102,untrusted,trusted
51.15.82.93,172.16.1.232,untrusted,trusted
34.218.47.231,172.16.2.242,untrusted,trusted
129.144.62.179,172.16.1.232,untrusted,trusted
134.119.193.57,10.0.0.10,untrusted,trusted
111.223.73.130,10.0.0.10,untrusted,trusted
134.119.193.57,192.168.1.55,untrusted,trusted
54.245.68.218,10.0.2.65,untrusted,trusted
104.197.230.188,172.16.1.232,untrusted,trusted
103.125.191.136,192.168.10.53,untrusted,trusted
205.185.123.210,192.168.10.53,untrusted,trusted
87.251.74.56,10.0.2.65,untrusted,trusted
108.161.138.152,192.168.1.55,untrusted,trusted
