account,sourceip,destip,sourceport,destport
167923643534,10.0.174.47,10.0.93.113,41257,9000
167923643534,10.0.21.182,10.0.52.156,56491,9000
167923643534,10.0.108.124,10.0.52.43,28359,22
167923643534,10.0.175.119,10.0.246.34,14114,8080
167923643534,10.0.77.159,10.0.247.17,37599,80
167923643534,10.0.83.216,10.0.166.117,42878,80
167923643534,10.0.45.222,10.0.229.164,64477,22
167923643534,10.0.153.30,10.0.55.94,23955,53
167923643534,10.0.67.132,10.0.57.22,29747,22
167923643534,10.0.189.139,10.0.35.164,65108,53
167923643534,10.0.31.90,10.0.127.144,38198,53
167923643534,10.0.253.112,10.0.150.238,52931,22
167923643534,10.0.67.130,10.0.188.15,33450,80
167923643534,205.185.123.210,10.0.188.15,21461,80
167923643534,76.102.124.169,10.0.188.15,58306,22
167923643534,10.0.188.15,103.125.191.136,41876,8080
167923643534,10.0.188.15,142.105.57.15,51136,22
167923643534,10.0.188.15,76.102.124.169,54253,22
167923643534,10.0.188.15,34.218.47.231,23711,9000
167923643534,10.0.188.15,103.226.248.72,63896,22
167923643534,10.0.188.15,103.125.191.136,51600,80
167923643534,10.0.188.15,142.105.57.15,25711,8080
167923643534,10.0.188.15,34.218.47.231,16116,22
179057445562,10.1.28.33,10.1.157.47,51802,53
179057445562,10.1.132.105,10.1.203.12,35422,443
179057445562,10.1.187.65,10.1.206.253,20523,22
179057445562,10.1.104.137,10.1.223.223,56191,9000
179057445562,10.1.36.43,10.1.131.247,62594,22
179057445562,10.1.186.216,10.1.202.219,33969,9000
179057445562,10.1.130.199,10.1.219.128,56134,80
179057445562,10.1.168.194,10.1.62.123,37986,9000
179057445562,10.1.57.135,10.1.112.140,28197,80
179057445562,10.1.95.35,10.1.243.72,11417,8080
179057445562,10.1.235.71,10.1.37.107,54659,22
179057445562,10.1.27.23,10.1.63.59,40391,8080
179057445562,10.1.89.119,10.1.156.170,35192,22
179057445562,10.1.17.225,10.1.165.106,59449,22
179057445562,10.1.239.177,10.1.21.233,31969,443
